Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Decade_group,Calculated_Sales,Top_Region,Sales_Category,Game_Age,NA_Percentage,EU_Percentage,Global_Sales_Scaler,NA_Percentage_Scaler,EU_Percentage_Scaler,Global_Sales_Standard_Scaler,NA_Percentage_Standard_Scaler,EU_Percentage_Standard_Scaler
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,2000,00s,14.969999999999999,NA_Sales,High,25,45.727636849132175,33.97863818424566,0.18095007856883844,0.45727636849132175,0.33978638184245663,9.27301376717935,0.004802411454837369,0.44554404360329297
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,2010,10s,14.76,NA_Sales,High,15,61.17886178861788,28.997289972899733,0.17829082557717882,0.6117886178861788,0.2899728997289973,9.131750565730975,0.45826333603840347,0.2454007859398639
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,1990,90s,14.64,NA_Sales,High,28,40.23224043715847,34.42622950819672,0.17684032394536447,0.4023224043715847,0.3442622950819672,9.054697910395499,-0.15647590451599686,0.4635276058592726
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,2010,10s,14.64,NA_Sales,High,16,66.05191256830601,25.47814207650273,0.17684032394536447,0.6605191256830601,0.2547814207650273,9.054697910395499,0.601277117842398,0.10400659017172804
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,2010,10s,14.349999999999998,NA_Sales,High,13,36.027874564459935,28.222996515679444,0.17333494500181315,0.3602787456445994,0.28222996515679444,8.868487326668093,-0.2798651919924451,0.21429081162355812
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,2010,10s,14.239999999999998,EU_Sales,High,11,40.519662921348306,40.800561797752806,0.17200531850598336,0.4051966292134831,0.40800561797752805,8.797855725943906,-0.14804065967700947,0.7196389186470675
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2010,10s,14.040000000000001,EU_Sales,High,14,35.56664290805418,41.91019244476123,0.16946694065030826,0.3556664290805418,0.4191019244476123,8.66301357910682,-0.29340137013884426,0.7642222489168939
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,2010,10s,13.740000000000002,NA_Sales,High,14,60.087399854333576,31.318281136198106,0.16584068657077244,0.6008739985433358,0.31318281136198106,8.470381940768126,0.42623122597549723,0.3386548032704563
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,2000,00s,13.52,NA_Sales,High,17,63.06439674315322,26.86898593634345,0.1631814335791128,0.6306439674315322,0.2686898593634345,8.329118739319751,0.5135998175903111,0.1598886544642152
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,2010,10s,13.469999999999999,EU_Sales,High,15,41.15898959881129,43.23922734026746,0.1625770578991902,0.4115898959881129,0.4323922734026746,8.297013466263303,-0.12927776758212853,0.8176209197685189
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2000,00s,13.100000000000001,NA_Sales,High,25,53.35877862595421,34.42748091603053,0.15822555300374716,0.5335877862595421,0.34427480916030534,8.06585550025687,0.22876035778586642,0.4635778855887551
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2000,00s,13.04,NA_Sales,High,18,51.7638036809816,20.015337423312886,0.15750030218783997,0.517638036809816,0.20015337423312887,8.02732917258913,0.18195120083762942,-0.11548088046484895
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,2010,10s,12.730000000000002,NA_Sales,High,16,46.975648075412415,34.878240377062056,0.15375317297231963,0.4697564807541242,0.3487824037706206,7.828276479639148,0.041428913675608546,0.48168873894126246
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,2000,00s,12.280000000000001,JP_Sales,High,21,20.78239608801956,28.687856560717194,0.14819291671703133,0.2078239608801956,0.28687856560717195,7.532907967519817,-0.7272878910160486,0.23296820573937424
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,2010,10s,12.21,NA_Sales,High,15,38.82063882063882,32.02293202293202,0.14746766590112417,0.3882063882063882,0.3202293202293202,7.494381639852079,-0.19790344030539955,0.36696664135178636
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,2000,00s,12.14,NA_Sales,High,19,65.65074135090609,23.31136738056013,0.1466215399492325,0.6565074135090609,0.23311367380560133,7.44943425757305,0.5895035871436379,0.016948764083424047
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2010,10s,11.989999999999998,EU_Sales,High,12,31.71953255425709,48.49749582637729,0.14468753777348003,0.3171953255425709,0.4849749582637729,7.346697383792414,-0.40630596021763604,1.0288904275057857
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,2000,00s,11.899999999999999,NA_Sales,High,17,36.97478991596639,23.277310924369747,0.1437205366856038,0.3697478991596639,0.23277310924369748,7.295328946902095,-0.25207521983954584,0.015580425674378406
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1990,90s,11.9,NA_Sales,High,30,58.11606391925989,23.969722455845247,0.14359966154961928,0.5811606391925989,0.23969722455845247,7.288907892290806,0.3683766662700789,0.043400504430885715
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,2000,00s,11.649999999999999,Other_Sales,High,22,25.8147512864494,0.08576329331046312,0.14081953342197515,0.258147512864494,0.0008576329331046312,7.14122363623114,-0.5795988598841993,-0.9162219089957064
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2000,00s,11.52,NA_Sales,High,19,53.47222222222222,29.51388888888889,0.13912728151819173,0.5347222222222222,0.2951388888888889,7.051328871673083,0.23208968851875328,0.266156971929024
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,2010,10s,11.33,NA_Sales,High,12,37.33451015004414,29.74404236540159,0.1368306539344857,0.3733451015004414,0.2974404236540159,6.929328834058577,-0.24151818824009896,0.2754042007107616
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,1990,90s,11.179999999999998,NA_Sales,High,34,55.098389982110916,18.246869409660107,0.1350175268947178,0.5509838998211092,0.18246869409660108,6.83301301488923,0.2798142889187303,-0.18653532884086532
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2000,00s,11.03,NA_Sales,High,18,61.34301270417423,28.13067150635209,0.13308352471896534,0.6134301270417423,0.2813067150635209,6.730276141108593,0.46308081984508853,0.21058132829763934
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,1990,90s,10.95,NA_Sales,High,29,36.71232876712329,35.34246575342466,0.13223739876707363,0.36712328767123287,0.3534246575342466,6.685328758829564,-0.25977790203385603,0.5003406330015131
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,2010,10s,10.79,NA_Sales,High,15,45.31974050046339,27.710843373493983,0.13030339659132117,0.4531974050046339,0.2771084337349398,6.582591885048927,-0.007168487689147566,0.19371325029867664
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,2010,10s,10.77,EU_Sales,High,16,27.483751160631385,45.31104921077066,0.13006164631935213,0.27483751160631387,0.45311049210770665,6.569749775826348,-0.5306172270984165,0.9008636807376043
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,2000,00s,10.690000000000001,NA_Sales,High,17,46.67913938260057,34.518241347053326,0.1290946452314759,0.4667913938260057,0.34518241347053324,6.51838133893603,0.03272700774154086,0.46722450645546443
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2000,00s,10.579999999999998,NA_Sales,High,18,45.033112582781456,35.572374645222325,0.12764414359966159,0.4503311258278146,0.35572374645222327,6.4413286836005526,-0.015580413673822149,0.5095780347284926
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1990,90s,10.55,NA_Sales,High,33,56.77725118483412,20.379146919431275,0.12740239332769254,0.5677725118483412,0.20379146919431276,6.428486574377973,0.32908533093746634,-0.1008635490451787
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,2000,00s,10.49,NA_Sales,High,22,41.372735938989514,25.26215443279313,0.12667714251178536,0.41372735938989513,0.2526215443279313,6.389960246710235,-0.12300476246938323,0.09532852375416129
60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2000,00s,10.42,NA_Sales,High,22,48.75239923224568,29.846449136276394,0.12583101655989365,0.4875239923224568,0.29846449136276393,6.345012864431205,0.09357281977289107,0.27951875441391216
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,2010,10s,10.27,NA_Sales,High,15,58.966861598440545,30.701754385964914,0.1238970143841412,0.5896686159844055,0.30701754385964913,6.242275990650569,0.39334578708385276,0.31388366361246833
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2010,10s,10.209999999999999,NA_Sales,High,13,65.81782566111654,25.759059745347695,0.12329263870421858,0.6581782566111655,0.25759059745347695,6.210170717594121,0.5944071599081389,0.11529344967088684
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2010,10s,9.87,NA_Sales,Medium,16,71.15384615384615,20.04048582995951,0.11930375921672916,0.7115384615384615,0.20040485829959512,5.998275915421558,0.7510081281618934,-0.11447045440793607
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1990,90s,9.870000000000001,NA_Sales,Medium,30,56.23100303951368,19.65552178318136,0.11918288408074461,0.5623100303951368,0.1965552178318136,5.991854860810267,0.31305409781522625,-0.12993774461462854
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2010,10s,9.830000000000002,NA_Sales,Medium,14,37.270875763747455,31.262729124236248,0.11857850840082199,0.3727087576374746,0.3126272912423625,5.9597495877538185,-0.24338572351697277,0.3364228049896535
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2010,10s,9.76,NA_Sales,Medium,14,67.93032786885246,24.18032786885246,0.11785325758491481,0.6793032786885246,0.24180327868852458,5.921223260086079,0.6564046525377839,0.05186232072086282
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1990,90s,9.719999999999999,JP_Sales,Medium,29,30.967078189300405,25.411522633744855,0.11736975704097671,0.30967078189300407,0.25411522633744854,5.89553904164092,-0.42838891178791816,0.10132991877041658
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2010,10s,9.580000000000002,NA_Sales,Medium,13,42.64859228362878,38.894681960375394,0.11579838027317783,0.42648592283628783,0.38894681960375393,5.812065331694153,-0.0855610646433656,0.6430634649377801
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2010,10s,9.52,NA_Sales,Medium,16,61.34453781512605,30.35714285714286,0.11495225432128614,0.6134453781512605,0.3035714285714286,5.767117949415124,0.4631255786409132,0.3000376783328758
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1990,90s,9.49,NA_Sales,Medium,27,40.88514225500527,36.03793466807165,0.11458962891333256,0.4088514225500527,0.36037934668071653,5.747854785581255,-0.13731461062877207,0.528283552925091
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,2000,00s,9.32,NA_Sales,Medium,19,63.412017167381975,25.536480686695278,0.11253475160159558,0.6341201716738197,0.2553648068669528,5.638696857189329,0.5238017452427961,0.10635054987823857
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1990,90s,9.3,NA_Sales,Medium,32,46.88172043010753,18.387096774193544,0.11229300132962654,0.46881720430107526,0.18387096774193545,5.625854747966749,0.038672335019176836,-0.18090119921159048
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2010,10s,9.2,NA_Sales,Medium,13,60.652173913043484,30.760869565217398,0.11108424996978124,0.6065217391304348,0.30760869565217397,5.561644201853851,0.4428061556555989,0.31625882472367134
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2010,10s,9.100000000000001,JP_Sales,Medium,14,22.11221122112211,25.522552255225524,0.10975462347395143,0.2211221122112211,0.2552255225522552,5.491012601129664,-0.6882606163408298,0.10579092595109592
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,2000,00s,9.02,NA_Sales,Medium,19,49.445676274944574,20.84257206208426,0.10890849752205974,0.4944567627494458,0.20842572062084258,5.446065218850634,0.11391904151298214,-0.08224380720050115
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2010,10s,8.84,NA_Sales,Medium,15,56.90045248868779,32.35294117647059,0.10673274507433823,0.5690045248868779,0.3235294117647059,5.3304862358474185,0.3327010298463999,0.380225924631265
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,1990,90s,8.77,JP_Sales,Medium,34,40.41095890410959,14.15525114155251,0.105765743986462,0.40410958904109595,0.1415525114155251,5.2791177989571,-0.15123089374298612,-0.3509305436602261
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,2010,10s,8.49,EU_Sales,Medium,11,13.074204946996467,71.37809187279152,0.10250211531487975,0.13074204946996468,0.7137809187279152,5.105749324452276,-0.9535070739846921,1.948199184034773
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,2010,10s,8.49,EU_Sales,Medium,16,21.083627797408717,41.57832744405182,0.10250211531487975,0.21083627797408716,0.4157832744405182,5.105749324452276,-0.7184473744881699,0.750888400422791
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2000,00s,8.48,NA_Sales,Medium,22,80.32979976442874,18.021201413427562,0.10250211531487975,0.8032979976442874,0.18021201413427562,5.105749324452276,1.0203030497287522,-0.1956023376103961
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2000,00s,8.42,NA_Sales,Medium,19,45.24940617577197,27.31591448931116,0.10165598936298806,0.4524940617577197,0.2731591448931116,5.0608019421732475,-0.009232652053425586,0.17784558755514474
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,2010,10s,8.34,JP_Sales,Medium,14,34.93397358943577,22.328931572629052,0.10056811313912731,0.34933973589435774,0.22328931572629052,5.00301245067164,-0.311968882766481,-0.022524064295984008
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2010,10s,8.25,EU_Sales,Medium,14,12.864077669902912,61.286407766990294,0.09948023691526656,0.12864077669902912,0.6128640776699029,4.945222959170032,-0.9596738672146302,1.5427301329764904
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,2000,00s,8.11,EU_Sales,Medium,17,12.083847102342787,79.16152897657214,0.09790886014746768,0.12083847102342787,0.7916152897657215,4.861749249223264,-0.9825719918578115,2.2609262594520025
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,1990,90s,8.09,NA_Sales,Medium,29,71.69344870210136,24.845488257107537,0.09766710987549863,0.7169344870210137,0.24845488257107537,4.8489071400006845,0.7668443270003529,0.0785874885520979
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2000,00s,8.05,EU_Sales,Medium,19,32.00992555831265,48.387096774193544,0.09730448446754505,0.3200992555831265,0.48387096774193544,4.829643976166816,-0.3977835368740265,1.0244547556736736
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2000,00s,8.040000000000001,NA_Sales,Medium,25,36.149068322981364,25.71428571428571,0.09718360933156053,0.36149068322981365,0.2571428571428571,4.823222921555526,-0.27630841031279696,0.11349449483872752
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1990,90s,7.86,JP_Sales,Medium,27,29.00763358778626,21.88295165394402,0.0948869817478545,0.2900763358778626,0.2188295165394402,4.7012228839410195,-0.4858944858865926,-0.040442882654192366
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,2000,00s,7.839999999999999,NA_Sales,Medium,18,35.96938775510204,22.70408163265306,0.09464523147588544,0.3596938775510204,0.22704081632653061,4.688380774718439,-0.2815816567226684,-0.007451085668467244
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980,80s,7.8100000000000005,NA_Sales,Medium,44,93.21382842509604,5.761843790012804,0.09428260606793185,0.9321382842509605,0.05761843790012804,4.6691176108845704,1.3984221679028108,-0.6881653280920973
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2000,00s,7.720000000000001,NA_Sales,Medium,21,37.56476683937824,36.65803108808291,0.0931947298440711,0.3756476683937824,0.3665803108808291,4.611328119382962,-0.2347606391366512,0.5531981166738779
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010,10s,7.7,NA_Sales,Medium,16,47.594278283485046,31.469440832249674,0.09283210443611752,0.4759427828348505,0.31469440832249673,4.592064955549093,0.05958440796338223,0.34472817792960303
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,2010,10s,7.67,EU_Sales,Medium,11,38.200782268578884,42.894393741851374,0.09259035416414846,0.38200782268578887,0.4289439374185138,4.579222846326513,-0.21609492520754323,0.8037660120586742
